cards_initial,moves_initial,hand1_cards,hand2_cards,moves_1,moves_2,dealer_hand,money
"[2, 'J', 5, 'J']","['H', 'DD']",[],[],[],[],"[2, 8, 9]",-200
"['J', 'K', 3]","['H', 'S']",[],[],[],[],"[8, 'A', 4, 4, 3]",-100
"['J', 3]",['S'],[],[],[],[],"[8, 6, 10]",100
"['J', 5, 'Q']",['DD'],[],[],[],[],"[6, 5, 'Q']",-200
"[3, 5, 9]","['H', 'S']",[],[],[],[],"['J', 'A', 3, 'J']",100
"[5, 'J', 4]",['DD'],[],[],[],[],"[6, 4, 'K']",-200
"[8, 3, 'J', 'J', 2]","['H', 'H', 'H', 'S']",[],[],[],[],"['A', 7, 'A', 5, 'Q']",-100
"['Q', 10, 8]",['DD'],[],[],[],[],"['K', 2, 4, 8]",-200
"[7, 'Q']",['S'],[],[],[],[],"['J', 7]",0
"['A', 2]",['S'],[],[],[],[],"['K', 10]",-100
"[4, 9, 8, 10]","['H', 'DD']",[],[],[],[],"['Q', 'J']",-200
"[8, 2]",['S'],[],[],[],[],"[10, 2, 'A', 5]",-100
"[8, 2]",['S'],[],[],[],[],"[9, 4, 3, 'J']",100
"['J', 7]",['S'],[],[],[],[],"['Q', 3, 'K']",100
"[10, 6]",['S'],[],[],[],[],"[8, 6, 2, 5]",-100
"[5, 'A', 5]",['DD'],[],[],[],[],"['A', 2, 7, 6, 2]",-200
"[9, 'Q', 'K']",['DD'],[],[],[],[],"[5, 5, 'Q']",-200
"[3, 'K']",['S'],[],[],[],[],"[9, 2, 6]",-100
"['J', 5, 8]",['DD'],[],[],[],[],"[2, 'J', 3, 2]",-200
"['Q', 5, 8]",['DD'],[],[],[],[],"[2, 'Q', 8]",-200
"[9, 'K', 6]",['DD'],[],[],[],[],"[4, 'Q', 5]",-200
"[10, 7, 'Q', 'Q']","['H', 'DD']",[],[],[],[],"['Q', 8]",-200
"[10, 5, 'K']","['H', 'S']",[],[],[],[],"[9, 'J']",-100
"['Q', 6, 5]","['H', 'S']",[],[],[],[],"['A', 'K', 'J']",100
"[2, 3]",['S'],[],[],[],[],"[5, 'A', 10, 'J']",100
"[9, 10]",['S'],[],[],[],[],"['Q', 'K']",-100
"[3, 8, 5]",['DD'],[],[],[],[],"[3, 9, 10]",200
"['K', 'Q', 4]",['DD'],[],[],[],[],"[10, 2, 2, 3]",-200
"[10, 2]",['S'],[],[],[],[],"[9, 'A', 5, 'Q']",100
"[3, 9, 8]",['DD'],[],[],[],[],"['A', 3, 'J', 10]",200
"['K', 'A']",['S'],[],[],[],[],"['K', 'J']",-100
"[3, 6]",['S'],[],[],[],[],"[9, 'K']",-100
"[8, 8, 9]",['DD'],[],[],[],[],"[8, 'K']",-200
"[8, 8]",['P'],[8],[8],['S'],['S'],"[10, 9]",-200
"[10, 10, 'K']",['DD'],[],[],[],[],"[6, 3, 9]",-200
"['K', 'A', 2, 9, 8, 'Q']","['H', 'H', 'H', 'DD']",[],[],[],[],"[3, 'K', 9]",-200
"['Q', 10]",['P'],"['Q', 4, 6]",[10],"['H', 'H', 'S']",['S'],"['Q', 6, 10]",200
"[9, 8, 6]",['DD'],[],[],[],[],"[4, 10, 8]",-200
"[8, 6, 10]",['DD'],[],[],[],[],"['J', 9]",-200
"['A', 10]",['S'],[],[],[],[],"['Q', 9]",-100
"['Q', 'A', 'J']",['DD'],[],[],[],[],"[8, 4, 3, 'K']",200
"[3, 7, 'A', 'K']","['H', 'DD']",[],[],[],[],"[2, 4, 2, 5, 'A', 7]",0
"[6, 4]",['S'],[],[],[],[],"['A', 'J', 9]",-100
"[4, 4]",['P'],[4],"[4, 2]",['S'],['DD'],"[9, 8]",-300
"[2, 3, 5]",['DD'],[],[],[],[],"[7, 3, 'J']",-200
"['A', 'K']",['S'],[],[],[],[],"[5, 'Q', 3]",-100
"['Q', 7, 'J']",['DD'],[],[],[],[],"[9, 5, 10]",-200
"['J', 'A', 9]",['DD'],[],[],[],[],"['Q', 9]",0
"['K', 8]",['S'],[],[],[],[],"[2, 4, 2, 8, 4]",-100
"[6, 9, 5]",['DD'],[],[],[],[],"['K', 'J']",0
"['J', 8, 6, 7]","['H', 'DD']",[],[],[],[],"['K', 3, 6]",-200
"['J', 'J']",['P'],"['J', 10]",['J'],['DD'],['S'],"[9, 2, 'Q']",-300
"[3, 7]",['S'],[],[],[],[],"[10, 'A', 7]",-100
